hsa190,hsa2099,hsa2100,hsa2101,hsa2103,hsa2104,hsa2908,hsa3174,hsa367,hsa4306,hsa5241,hsa5465,hsa5468,hsa5914,hsa5915,hsa5916,hsa6095,hsa6096,hsa6097,hsa6256,hsa6257,hsa6258,hsa7421,hsa8856,hsa9970,hsa9971
1.0,0.33109,0.33109,0.9,0.0,0.9,0.9,0.0,0.9,0.33109,0.9,0.1218,0.9,0.1218,0.1218,0.1218,0.9,0.0,0.0,0.33109,0.33109,0.33109,0.33109,0.1218,0.1218,0.1218
0.33109,1.0,0.9,0.9,0.0,0.33109,0.33109,0.0,0.1218,0.33109,0.9,0.33109,0.9,0.33109,0.33109,0.33109,0.1218,0.0,0.0,0.9,0.33109,0.33109,0.33109,0.33109,0.33109,0.9
0.33109,0.9,1.0,0.33109,0.0,0.1218,0.33109,0.0,0.1218,0.33109,0.33109,0.33109,0.9,0.33109,0.33109,0.33109,0.1218,0.0,0.0,0.9,0.33109,0.33109,0.33109,0.33109,0.33109,0.33109
0.9,0.9,0.33109,1.0,0.0,0.9,0.33109,0.0,0.33109,0.1218,0.33109,0.1218,0.33109,0.1218,0.1218,0.1218,0.33109,0.0,0.0,0.33109,0.1218,0.1218,0.1218,0.1218,0.1218,0.33109
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.33109,0.1218,0.9,0.0,1.0,0.33109,0.0,0.33109,0.1218,0.33109,0.04481,0.33109,0.04481,0.04481,0.04481,0.33109,0.0,0.0,0.1218,0.1218,0.1218,0.1218,0.04481,0.04481,0.1218
0.9,0.33109,0.33109,0.33109,0.0,0.33109,1.0,0.0,0.33109,0.9,0.33109,0.33109,0.9,0.33109,0.33109,0.33109,0.33109,0.0,0.0,0.33109,0.9,0.33109,0.33109,0.33109,0.1218,0.1218
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.1218,0.1218,0.33109,0.0,0.33109,0.33109,0.0,1.0,0.1218,0.33109,0.04481,0.33109,0.04481,0.04481,0.04481,0.33109,0.0,0.0,0.1218,0.1218,0.1218,0.1218,0.04481,0.04481,0.04481
0.33109,0.33109,0.33109,0.1218,0.0,0.1218,0.9,0.0,0.1218,1.0,0.1218,0.33109,0.33109,0.33109,0.33109,0.33109,0.1218,0.0,0.0,0.9,0.33109,0.1218,0.33109,0.33109,0.33109,0.33109
0.9,0.9,0.33109,0.33109,0.0,0.33109,0.33109,0.0,0.33109,0.1218,1.0,0.1218,0.33109,0.1218,0.1218,0.1218,0.33109,0.0,0.0,0.33109,0.1218,0.1218,0.1218,0.1218,0.1218,0.33109
0.1218,0.33109,0.33109,0.1218,0.0,0.04481,0.33109,0.0,0.04481,0.33109,0.1218,1.0,0.33109,0.33109,0.33109,0.33109,0.04481,0.0,0.0,0.9,0.9,0.9,0.33109,0.33109,0.33109,0.33109
0.9,0.9,0.9,0.33109,0.0,0.33109,0.9,0.0,0.33109,0.33109,0.33109,0.33109,1.0,0.33109,0.33109,0.33109,0.33109,0.0,0.0,0.9,0.9,0.9,0.9,0.33109,0.33109,0.33109
0.1218,0.33109,0.33109,0.1218,0.0,0.04481,0.33109,0.0,0.04481,0.33109,0.1218,0.33109,0.33109,1.0,0.33109,0.33109,0.04481,0.0,0.0,0.9,0.9,0.9,0.33109,0.33109,0.33109,0.33109
0.1218,0.33109,0.33109,0.1218,0.0,0.04481,0.33109,0.0,0.04481,0.33109,0.1218,0.33109,0.33109,0.33109,1.0,0.33109,0.04481,0.0,0.0,0.9,0.9,0.9,0.33109,0.33109,0.33109,0.33109
0.1218,0.33109,0.33109,0.1218,0.0,0.04481,0.33109,0.0,0.04481,0.33109,0.1218,0.33109,0.33109,0.33109,0.33109,1.0,0.04481,0.0,0.0,0.9,0.9,0.9,0.33109,0.33109,0.33109,0.33109
0.9,0.1218,0.1218,0.33109,0.0,0.33109,0.33109,0.0,0.33109,0.1218,0.33109,0.04481,0.33109,0.04481,0.04481,0.04481,1.0,0.0,0.0,0.1218,0.1218,0.1218,0.1218,0.04481,0.04481,0.04481
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33109,0.9,0.9,0.33109,0.0,0.1218,0.33109,0.0,0.1218,0.9,0.33109,0.9,0.9,0.9,0.9,0.9,0.1218,0.0,0.0,1.0,0.33109,0.33109,0.9,0.9,0.9,0.9
0.33109,0.33109,0.33109,0.1218,0.0,0.1218,0.9,0.0,0.1218,0.33109,0.1218,0.9,0.9,0.9,0.9,0.9,0.1218,0.0,0.0,0.33109,1.0,0.33109,0.9,0.9,0.1218,0.1218
0.33109,0.33109,0.33109,0.1218,0.0,0.1218,0.33109,0.0,0.1218,0.1218,0.1218,0.9,0.9,0.9,0.9,0.9,0.1218,0.0,0.0,0.33109,0.33109,1.0,0.9,0.9,0.1218,0.9
0.33109,0.33109,0.33109,0.1218,0.0,0.1218,0.33109,0.0,0.1218,0.33109,0.1218,0.33109,0.9,0.33109,0.33109,0.33109,0.1218,0.0,0.0,0.9,0.9,0.9,1.0,0.33109,0.33109,0.33109
0.1218,0.33109,0.33109,0.1218,0.0,0.04481,0.33109,0.0,0.04481,0.33109,0.1218,0.33109,0.33109,0.33109,0.33109,0.33109,0.04481,0.0,0.0,0.9,0.9,0.9,0.33109,1.0,0.33109,0.33109
0.1218,0.33109,0.33109,0.1218,0.0,0.04481,0.1218,0.0,0.04481,0.33109,0.1218,0.33109,0.33109,0.33109,0.33109,0.33109,0.04481,0.0,0.0,0.9,0.1218,0.1218,0.33109,0.33109,1.0,0.33109
0.1218,0.9,0.33109,0.33109,0.0,0.1218,0.1218,0.0,0.04481,0.33109,0.33109,0.33109,0.33109,0.33109,0.33109,0.33109,0.04481,0.0,0.0,0.9,0.1218,0.9,0.33109,0.33109,0.33109,1.0
